"id","name","parent_id"
1,Браслети,
2,Браслет,1
3,Обручки,4
4,Каблучки,
5,Годинники,
6,Годинник кварцевий,5
7,Годинник механічний,5
8,Зажими для галстуків,
9,Запонки,
10,Ікони,
11,Кольє,
12,Кулон,13
13,Кулони,
14,Пірсінг,
15,Сертифікати,
16,Столовий посуд,
17,Сувеніри,
18,Браслет на запясток,1
19,Браслет на ногу,1
20,Брелоки,
21,Брелоки-авто,20
22,Брелоки-ікони,20
23,Броши,
24,Брош,23
25,Обручка,4
26,Печатка,4
27,Православні,10
28,Католицькі,10
29,Ланцюжок,11
30,Значки,23
31,Шпильки,23
32,Намисто,11
33,Ладанка,13
34,Хрестики,13
35,Шарм,13
36,Шнурок,11
37,Пластиковий сертифікат,15
