"id","name","content_type_id","codename"
1,Can add log entry,1,add_logentry
2,Can change log entry,1,change_logentry
3,Can delete log entry,1,delete_logentry
4,Can view log entry,1,view_logentry
5,Can add permission,2,add_permission
6,Can change permission,2,change_permission
7,Can delete permission,2,delete_permission
8,Can view permission,2,view_permission
9,Can add group,3,add_group
10,Can change group,3,change_group
11,Can delete group,3,delete_group
12,Can view group,3,view_group
13,Can add content type,4,add_contenttype
14,Can change content type,4,change_contenttype
15,Can delete content type,4,delete_contenttype
16,Can view content type,4,view_contenttype
17,Can add session,5,add_session
18,Can change session,5,change_session
19,Can delete session,5,delete_session
20,Can view session,5,view_session
21,Can add crontab,6,add_crontabschedule
22,Can change crontab,6,change_crontabschedule
23,Can delete crontab,6,delete_crontabschedule
24,Can view crontab,6,view_crontabschedule
25,Can add interval,7,add_intervalschedule
26,Can change interval,7,change_intervalschedule
27,Can delete interval,7,delete_intervalschedule
28,Can view interval,7,view_intervalschedule
29,Can add periodic task,8,add_periodictask
30,Can change periodic task,8,change_periodictask
31,Can delete periodic task,8,delete_periodictask
32,Can view periodic task,8,view_periodictask
33,Can add periodic task track,9,add_periodictasks
34,Can change periodic task track,9,change_periodictasks
35,Can delete periodic task track,9,delete_periodictasks
36,Can view periodic task track,9,view_periodictasks
37,Can add solar event,10,add_solarschedule
38,Can change solar event,10,change_solarschedule
39,Can delete solar event,10,delete_solarschedule
40,Can view solar event,10,view_solarschedule
41,Can add clocked,11,add_clockedschedule
42,Can change clocked,11,change_clockedschedule
43,Can delete clocked,11,delete_clockedschedule
44,Can view clocked,11,view_clockedschedule
45,Can add Token,12,add_token
46,Can change Token,12,change_token
47,Can delete Token,12,delete_token
48,Can view Token,12,view_token
49,Can add Token,13,add_tokenproxy
50,Can change Token,13,change_tokenproxy
51,Can delete Token,13,delete_tokenproxy
52,Can view Token,13,view_tokenproxy
53,Can add Категорія виробу,14,add_categories
54,Can change Категорія виробу,14,change_categories
55,Can delete Категорія виробу,14,delete_categories
56,Can view Категорія виробу,14,view_categories
57,Can add Ювеліриний камінь,15,add_gemstone
58,Can change Ювеліриний камінь,15,change_gemstone
59,Can delete Ювеліриний камінь,15,delete_gemstone
60,Can view Ювеліриний камінь,15,view_gemstone
61,Can add Для кого,16,add_gender
62,Can change Для кого,16,change_gender
63,Can delete Для кого,16,delete_gender
64,Can view Для кого,16,view_gender
65,Can add Матеріал,17,add_material
66,Can change Матеріал,17,change_material
67,Can delete Матеріал,17,delete_material
68,Can view Матеріал,17,view_material
69,Can add Привід,18,add_occasion
70,Can change Привід,18,change_occasion
71,Can delete Привід,18,delete_occasion
72,Can view Привід,18,view_occasion
73,Can add Товар,19,add_product
74,Can change Товар,19,change_product
75,Can delete Товар,19,delete_product
76,Can view Товар,19,view_product
77,Can add product attributes,20,add_productattributes
78,Can change product attributes,20,change_productattributes
79,Can delete product attributes,20,delete_productattributes
80,Can view product attributes,20,view_productattributes
81,Can add Сертифікат продукції,22,add_productcertificate
82,Can change Сертифікат продукції,22,change_productcertificate
83,Can delete Сертифікат продукції,22,delete_productcertificate
84,Can view Сертифікат продукції,22,view_productcertificate
85,Can add product gemstone,23,add_productgemstone
86,Can change product gemstone,23,change_productgemstone
87,Can delete product gemstone,23,delete_productgemstone
88,Can view product gemstone,23,view_productgemstone
89,Can add Фото продукції,25,add_productimage
90,Can change Фото продукції,25,change_productimage
91,Can delete Фото продукції,25,delete_productimage
92,Can view Фото продукції,25,view_productimage
93,Can add product material,26,add_productmaterial
94,Can change product material,26,change_productmaterial
95,Can delete product material,26,delete_productmaterial
96,Can view product material,26,view_productmaterial
97,Can add product tag,27,add_producttag
98,Can change product tag,27,change_producttag
99,Can delete product tag,27,delete_producttag
100,Can view product tag,27,view_producttag
101,Can add Конвертація розмірів,30,add_ringsizeconversion
102,Can change Конвертація розмірів,30,change_ringsizeconversion
103,Can delete Конвертація розмірів,30,delete_ringsizeconversion
104,Can view Конвертація розмірів,30,view_ringsizeconversion
105,Can add Підкатегорія виробу,31,add_subcategories
106,Can change Підкатегорія виробу,31,change_subcategories
107,Can delete Підкатегорія виробу,31,delete_subcategories
108,Can view Підкатегорія виробу,31,view_subcategories
109,Can add user,37,add_user
110,Can change user,37,change_user
111,Can delete user,37,delete_user
112,Can view user,37,view_user
113,Can add otp,38,add_otp
114,Can change otp,38,change_otp
115,Can delete otp,38,delete_otp
116,Can view otp,38,view_otp
117,Can add cart,39,add_cart
118,Can change cart,39,change_cart
119,Can delete cart,39,delete_cart
120,Can view cart,39,view_cart
121,Can add cart item,40,add_cartitem
122,Can change cart item,40,change_cartitem
123,Can delete cart item,40,delete_cartitem
124,Can view cart item,40,view_cartitem
125,Can add order,41,add_order
126,Can change order,41,change_order
127,Can delete order,41,delete_order
128,Can view order,41,view_order
129,Can add order item,42,add_orderitem
130,Can change order item,42,change_orderitem
131,Can delete order item,42,delete_orderitem
132,Can view order item,42,view_orderitem
133,Can add Склад,43,add_warehouse
134,Can change Склад,43,change_warehouse
135,Can delete Склад,43,delete_warehouse
136,Can view Склад,43,view_warehouse
137,Can add reservation,44,add_reservation
138,Can change reservation,44,change_reservation
139,Can delete reservation,44,delete_reservation
140,Can view reservation,44,view_reservation
141,Can add warehouse stock,45,add_warehousestock
142,Can change warehouse stock,45,change_warehousestock
143,Can delete warehouse stock,45,delete_warehousestock
144,Can view warehouse stock,45,view_warehousestock
