"id","action_time","object_id","object_repr","action_flag","change_message","content_type_id","user_id"
1,2025-02-27 11:38:21.963 +0200,"1",Новий рік,1,"[{""added"": {}}]",18,1
2,2025-02-27 11:40:15.637 +0200,"1",Новий рік,3,"",18,1
3,2025-02-27 11:46:50.067 +0200,"6",Новий рік,1,"[{""added"": {}}]",18,1
4,2025-02-27 11:49:04.669 +0200,"6",Новий рік,3,"",18,1
5,2025-02-27 11:49:12.666 +0200,"7",Новий рік,1,"[{""added"": {}}]",18,1
6,2025-02-27 11:54:07.446 +0200,"7",Новий рік,3,"",18,1
7,2025-02-27 11:54:27.385 +0200,"8",Новий рік,1,"[{""added"": {}}]",18,1
8,2025-02-27 12:01:36.968 +0200,"8",Occasion object (8),3,"",18,1
9,2025-02-27 12:41:01.809 +0200,"9",Occasion object (9),1,"[{""added"": {}}]",18,1
10,2025-02-27 12:41:58.964 +0200,"10",Occasion object (10),1,"[{""added"": {}}]",18,1
11,2025-02-27 13:15:03.540 +0200,"14",Occasion object (14),1,"[{""added"": {}}]",18,1
12,2025-02-27 13:15:24.209 +0200,"15",Occasion object (15),1,"[{""added"": {}}]",18,1
13,2025-02-27 13:16:23.332 +0200,"13",Occasion object (13),2,"[{""changed"": {""fields"": [""Slug""]}}]",18,1
14,2025-02-27 13:16:39.628 +0200,"16",Occasion object (16),1,"[{""added"": {}}]",18,1
15,2025-02-27 16:20:39.834 +0200,"3",Categories object (3),1,"[{""added"": {}}]",14,1
16,2025-02-27 16:20:58.860 +0200,"3",Categories object (3),2,"[{""changed"": {""fields"": [""Categories"", ""Slug""]}}]",14,1
17,2025-02-27 16:21:16.452 +0200,"3",Categories object (3),2,[],14,1
18,2025-02-27 16:24:48.187 +0200,"3",SubCategories object (3),1,"[{""added"": {}}]",31,1
19,2025-02-27 16:25:01.968 +0200,"3",SubCategories object (3),2,"[{""changed"": {""fields"": [""Name"", ""Slug""]}}]",31,1
20,2025-02-27 16:25:18.501 +0200,"3",SubCategories object (3),2,[],31,1
21,2025-02-27 16:25:25.754 +0200,"3",SubCategories object (3),2,[],31,1
22,2025-02-27 21:01:38.988 +0200,"1",Cart e2476b61-6853-4340-a4c2-b92ad990e57c (User: 1),1,"[{""added"": {}}]",39,1
23,2025-02-27 21:10:09.473 +0200,"4",Categories object (4),1,"[{""added"": {}}]",14,1
24,2025-02-27 21:10:25.225 +0200,"4",Categories object (4),2,"[{""changed"": {""fields"": [""Categories"", ""Slug""]}}]",14,1
