"id","app_label","model"
1,admin,logentry
2,auth,permission
3,auth,group
4,contenttypes,contenttype
5,sessions,session
6,django_celery_beat,crontabschedule
7,django_celery_beat,intervalschedule
8,django_celery_beat,periodictask
9,django_celery_beat,periodictasks
10,django_celery_beat,solarschedule
11,django_celery_beat,clockedschedule
12,authtoken,token
13,authtoken,tokenproxy
14,product,categories
15,product,gemstone
16,product,gender
17,product,material
18,product,occasion
19,product,product
20,product,productattributes
21,product,productattributestranslation
22,product,productcertificate
23,product,productgemstone
24,product,productgemstonetranslation
25,product,productimage
26,product,productmaterial
27,product,producttag
28,product,producttagtranslation
29,product,producttranslation
30,product,ringsizeconversion
31,product,subcategories
32,product,subcategoriestranslation
33,product,categoriestranslation
34,product,gemstonetranslation
35,product,materialtranslation
36,product,occasiontranslation
37,users,user
38,users,otp
39,cart,cart
40,cart,cartitem
41,order,order
42,order,orderitem
43,warehouse,warehouse
44,warehouse,reservation
45,warehouse,warehousestock
