"id","app","name","applied"
1,contenttypes,"0001_initial",2025-02-27 11:35:45.006 +0200
2,contenttypes,"0002_remove_content_type_name",2025-02-27 11:35:45.079 +0200
3,auth,"0001_initial",2025-02-27 11:35:46.544 +0200
4,auth,"0002_alter_permission_name_max_length",2025-02-27 11:35:46.585 +0200
5,auth,"0003_alter_user_email_max_length",2025-02-27 11:35:46.623 +0200
6,auth,"0004_alter_user_username_opts",2025-02-27 11:35:46.666 +0200
7,auth,"0005_alter_user_last_login_null",2025-02-27 11:35:46.707 +0200
8,auth,"0006_require_contenttypes_0002",2025-02-27 11:35:46.746 +0200
9,auth,"0007_alter_validators_add_error_messages",2025-02-27 11:35:46.781 +0200
10,auth,"0008_alter_user_username_max_length",2025-02-27 11:35:46.825 +0200
11,auth,"0009_alter_user_last_name_max_length",2025-02-27 11:35:46.923 +0200
12,auth,"0010_alter_group_name_max_length",2025-02-27 11:35:46.970 +0200
13,auth,"0011_update_proxy_permissions",2025-02-27 11:35:47.006 +0200
14,auth,"0012_alter_user_first_name_max_length",2025-02-27 11:35:47.050 +0200
15,users,"0001_initial",2025-02-27 11:35:48.863 +0200
16,admin,"0001_initial",2025-02-27 11:35:49.347 +0200
17,admin,"0002_logentry_remove_auto_add",2025-02-27 11:35:49.384 +0200
18,admin,"0003_logentry_add_action_flag_choices",2025-02-27 11:35:49.433 +0200
19,authtoken,"0001_initial",2025-02-27 11:35:49.987 +0200
20,authtoken,"0002_auto_20160226_1747",2025-02-27 11:35:50.055 +0200
21,authtoken,"0003_tokenproxy",2025-02-27 11:35:50.088 +0200
22,authtoken,"0004_alter_tokenproxy_options",2025-02-27 11:35:50.136 +0200
23,product,"0001_initial",2025-02-27 11:35:58.294 +0200
24,cart,"0001_initial",2025-02-27 11:35:58.608 +0200
25,cart,"0002_initial",2025-02-27 11:35:59.236 +0200
26,django_celery_beat,"0001_initial",2025-02-27 11:36:00.412 +0200
27,django_celery_beat,"0002_auto_20161118_0346",2025-02-27 11:36:00.767 +0200
28,django_celery_beat,"0003_auto_20161209_0049",2025-02-27 11:36:00.921 +0200
29,django_celery_beat,"0004_auto_20170221_0000",2025-02-27 11:36:00.961 +0200
30,django_celery_beat,"0005_add_solarschedule_events_choices",2025-02-27 11:36:00.999 +0200
31,django_celery_beat,"0006_auto_20180322_0932",2025-02-27 11:36:01.212 +0200
32,django_celery_beat,"0007_auto_20180521_0826",2025-02-27 11:36:01.317 +0200
33,django_celery_beat,"0008_auto_20180914_1922",2025-02-27 11:36:01.450 +0200
34,django_celery_beat,"0006_auto_20180210_1226",2025-02-27 11:36:01.520 +0200
35,django_celery_beat,"0006_periodictask_priority",2025-02-27 11:36:01.570 +0200
36,django_celery_beat,"0009_periodictask_headers",2025-02-27 11:36:01.616 +0200
37,django_celery_beat,"0010_auto_20190429_0326",2025-02-27 11:36:01.891 +0200
38,django_celery_beat,"0011_auto_20190508_0153",2025-02-27 11:36:02.229 +0200
39,django_celery_beat,"0012_periodictask_expire_seconds",2025-02-27 11:36:02.278 +0200
40,django_celery_beat,"0013_auto_20200609_0727",2025-02-27 11:36:02.323 +0200
41,django_celery_beat,"0014_remove_clockedschedule_enabled",2025-02-27 11:36:02.375 +0200
42,django_celery_beat,"0015_edit_solarschedule_events_choices",2025-02-27 11:36:02.410 +0200
43,django_celery_beat,"0016_alter_crontabschedule_timezone",2025-02-27 11:36:02.507 +0200
44,django_celery_beat,"0017_alter_crontabschedule_month_of_year",2025-02-27 11:36:02.571 +0200
45,django_celery_beat,"0018_improve_crontab_helptext",2025-02-27 11:36:02.626 +0200
46,django_celery_beat,"0019_alter_periodictasks_options",2025-02-27 11:36:02.680 +0200
47,order,"0001_initial",2025-02-27 11:36:02.968 +0200
48,order,"0002_initial",2025-02-27 11:36:03.687 +0200
49,product,"0002_initial",2025-02-27 11:36:07.663 +0200
50,sessions,"0001_initial",2025-02-27 11:36:08.217 +0200
51,warehouse,"0001_initial",2025-02-27 11:36:09.949 +0200
52,product,"0003_alter_occasiontranslation_name",2025-02-27 14:31:33.663 +0200
53,product,"0004_remove_subcategoriestranslation_parent_and_more",2025-02-28 13:50:25.574 +0200
54,product,"0005_remove_materialtranslation_type",2025-02-28 14:30:20.683 +0200
55,product,"0006_delete_materialtranslation",2025-02-28 14:45:22.387 +0200
56,product,"0007_product_category",2025-02-28 21:04:49.036 +0200
