"id","circumference_mm","diameter_mm","size_ua","size_us","size_eu","size_uk","size_asia","size_other_eu"
1,36.1,11.5,"11.5","0","36","","",""
2,37.7,12.0,"12","1/2","37.5",A,"",""
3,39.3,12.5,"12.5","1","39",B,"1",""
4,40.8,13.0,"13","1 3/4","41",C 1/2,"2","1"
5,42.4,13.5,"13.5","2 1/4","42.5",D 1/2,"3","2.5"
6,44.0,14.0,"14","3","44",F,"4","4"
7,45.6,14.5,"14.5","3 1/2","45.5",G,"6","5.5"
8,47.1,15.0,"15","4 1/4","47",H 1/2,"8","7"
9,48.7,15.5,"15.5","4 3/4","48.5",J,"9","8.5"
10,50.3,16.0,"16","5 1/2","50.5",K 1/2,"10","10.5"
11,51.8,16.5,"16.5","6","52",L 1/2,"11","12"
12,53.4,17.0,"17","6 3/4","53.5",N,"13-14","13.5"
13,55.0,17.5,"17.5","7 1/4","55",O,"15","15"
14,56.5,18.0,"18","8","56.5",P 1/2,"16","16.5"
15,58.1,18.5,"18.5","8 1/2","58",Q 1/2,"17","18"
16,59.7,19.0,"19","9","59.5",R 1/2,"18","19.5"
17,61.3,19.5,"19.5","9 3/4","61.5",T,"19-20","21.5"
18,62.8,20.0,"20","10 1/4","63",U,"21","23"
19,64.4,20.5,"20.5","11","64.5",V 1/2,"23","24.5"
20,66.0,21.0,"21","11 3/4","66",X,"24-25","26"
21,67.5,21.5,"21.5","12 1/4","67.5",Y,"25-26","27.5"
22,69.1,22.0,"22","12 3/4","69",Z 1/2,"26-27","29"
23,70.7,22.5,"22.5","13 1/2","70.5",Z1,"","30.5"
24,72.3,23.0,"23","14","72.5",Z3,"","32.5"
25,73.8,23.5,"23.5","14 3/4","74",Z4,"","34"
26,75.4,24.0,"24","15 1/4","75.5","","","35.5"
27,77.0,24.5,"24.5","16","77","","","37"
